county,well_records,median_depth_ft,depth_p25_ft,depth_p75_ft,median_static_water_level_ft,median_yield_gpm,complete_system_low_usd,complete_system_high_usd
"Mcmullen",246,3820,490,4231,140,300,196920,328200
"Medina",2647,460,200,800,181,20,30900,51500
"Menard",731,230,160,310,157,10,15600,26000
"Midland",11927,105,83,135,60,20,6000,10000
"Milam",973,390,200,520,94,30,24720,41200
"Mills",1012,300,187,400,150,15,18000,30000
"Mitchell",959,200,145,240,70,50,11700,19500
"Montague",2801,220,160,320,80,15,13200,22000
"Montgomery",12356,225,190,299,70,40,13200,22000
"Moore",1027,520,455,640,350,25,31200,52000
"Morris",196,441,359,506,130,30,26520,44200
"Motley",343,140,89,205,63,10,10800,18000
"Nacogdoches",1941,400,265,500,140,60,25200,42000
"Navarro",161,100,60,170,20,12,7680,12800
"Newton",991,158,110,200,30,20,9000,15000
"Nolan",1236,234,180,295,90,30,13200,22000
"Nueces",1735,247,163,327,39,60,14700,24500
"Ochiltree",737,500,400,623,294,90,32280,53800
"Oldham",350,303,224,355,163,15,19200,32000
"Orange",1828,396,180,450,36,18,24300,40500
"Palo Pinto",1419,200,160,300,80,10,12000,20000
"Panola",3145,240,165,320,55,60,13200,22000
"Parker",15012,240,200,304,115,15,14400,24000
"Parmer",1226,410,386,455,355,125,25380,42300
"Pecos",638,425,280,602,159,60,30000,50000
"Polk",1970,220,163,290,61,40,12600,21000
"Potter",2019,290,243,310,185,13,17760,29600
"Presidio",231,375,283,500,205,20,22740,37900
"Rains",134,220,113,284,55,33,15120,25200
"Randall",6901,330,280,465,220,15,20400,34000
"Reagan",2538,435,390,540,239,50,25200,42000
"Real",717,360,137,627,260,15,22500,37500
"Red River",176,200,72,400,23,35,8520,14200
"Reeves",1510,375,250,480,95,90,24000,40000
"Refugio",877,220,180,315,30,75,12600,21000
"Roberts",529,500,380,590,225,100,33240,55400
"Robertson",1959,360,250,465,80,60,24780,41300
"Rockwall",59,54,49,68,25,12,148500,247500
"Runnels",816,100,60,120,35,15,6000,10000
"Rusk",2521,410,315,495,130,55,24600,41000
"Sabine",382,145,89,215,33,15,8400,14000
"San Augustine",920,270,180,365,65,50,14400,24000
"San Jacinto",1726,220,165,312,55,30,12780,21300
"San Patricio",1309,180,140,248,37,50,12000,20000
"San Saba",884,280,150,420,74,30,16800,28000
"Schleicher",552,340,260,400,245,25,20400,34000
"Scurry",1035,240,153,300,90,30,15600,26000
"Shackelford",17,100,40,108,23,5,2400,4000
"Shelby",1544,330,230,420,86,55,18120,30200
"Sherman",1274,480,439,532,295,400,28440,47400
"Smith",2152,300,162,500,96,40,22800,38000
"Somervell",594,500,383,580,309,16,28800,48000
"Starr",668,440,360,520,120,25,26400,44000
"Stephens",176,151,100,200,47,6,9000,15000
"Sterling",355,200,130,283,80,50,9900,16500
"Stonewall",292,63,50,100,35,6,3720,6200
"Sutton",690,360,300,400,264,10,22500,37500
"Swisher",459,269,202,337,165,14,14400,24000
"Tarrant",6752,320,200,405,180,15,20400,34000
"Taylor",612,80,42,120,30,14,4800,8000
"Terrell",113,695,491,800,460,14,41400,69000
"Terry",4316,160,132,185,87,15,9840,16400
"Throckmorton",39,37,26,60,16,15,1920,3200
"Titus",208,430,322,500,100,42,27000,45000
"Tom Green",3477,130,90,180,50,29,8100,13500
"Travis",4375,440,275,645,247,25,27600,46000
"Trinity",366,271,180,387,65,20,16740,27900
